model_id,model,vendor,surface_id,surface,counts_as,lifecycle,exposure,state_is_terminal,last_event,last_event_date,last_event_precision,known_as_of,model_superseded_by,open_questions
gpt-5-6-sol,GPT-5.6 Sol,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-gpt5-6-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-6-sol,GPT-5.6 Sol,OpenAI,microsoft-foundry,Microsoft Foundry,microsoft | foundry,ga,catalogue,false,foundry-gpt5-6-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-6-sol,GPT-5.6 Sol,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt5-6-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-6-terra,GPT-5.6 Terra,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-gpt5-6-terra-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-6-terra,GPT-5.6 Terra,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,selectable,false,m365-gpt5-6-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-6-terra,GPT-5.6 Terra,OpenAI,microsoft-foundry,Microsoft Foundry,microsoft | foundry,ga,catalogue,false,foundry-gpt5-6-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-6-terra,GPT-5.6 Terra,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-gpt5-6-2026-07-09,2026-07-09,day,2026-07-28,,0
gpt-5-mini,GPT-5 mini,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-gpt5-mini-ga-2025-09-09,2025-09-09,day,2026-07-28,,0
gpt-5-mini,GPT-5 mini,OpenAI,openai-api,OpenAI API,,ga,not_applicable,false,openai-gpt5-mini-2025-08-07,2025-08-07,day,2026-07-28,,1
grok-3,Grok 3,xAI,microsoft-foundry,Microsoft Foundry,microsoft | foundry,retired,catalogue,true,foundry-grok3-retired-2026-05-01,2026-05-01,day,2026-07-28,,0
grok-3,Grok 3,xAI,xai-grok,Grok,,public_preview,not_applicable,false,xai-grok3-2025-02-19,2025-02-19,day,2026-07-28,,0
grok-3-mini,Grok 3 Mini,xAI,microsoft-foundry,Microsoft Foundry,microsoft | foundry,retired,catalogue,true,foundry-grok3-mini-retired-2026-05-01,2026-05-01,day,2026-07-28,,0
grok-3-mini,Grok 3 Mini,xAI,xai-grok,Grok,,public_preview,not_applicable,false,xai-grok3-2025-02-19,2025-02-19,day,2026-07-28,,0
grok-4,Grok 4,xAI,azure-ai-foundry,Azure AI Foundry,microsoft | foundry,ga,catalogue,false,xai-grok4-foundry-2025-09-29,2025-09-29,day,2026-07-28,,0
grok-4,Grok 4,xAI,xai-grok,Grok,,ga,not_applicable,false,xai-grok4-2025-07-09,2025-07-09,day,2026-07-28,,0
grok-4-5,Grok 4.5,xAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-grok4-5-2026-07-28,2026-07-28,day,2026-07-28,,0
grok-4-5,Grok 4.5,xAI,xai-grok,Grok,,ga,not_applicable,false,xai-grok4-5-2026-07-09,2026-07-09,day,2026-07-28,,1
kimi-k2-7-code,Kimi K2.7 Code,Moonshot AI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,ga,selectable,false,github-kimi-k2-7-enterprise-2026-07-07,2026-07-07,day,2026-07-28,,0
kimi-k2-7-code,Kimi K2.7 Code,Moonshot AI,moonshot,Moonshot AI,,ga,not_applicable,false,moonshot-kimi-k2-7-code-2026-06-12,2026-06-12,day,2026-07-28,,0
kimi-k3,Kimi K3,Moonshot AI,microsoft-foundry,Microsoft Foundry,microsoft | foundry,ga,catalogue,false,foundry-kimi-k3-2026-07-28,2026-07-28,day,2026-07-28,,0
