model_id,model,vendor,tier,measure,baseline_event,baseline_date,baseline_lifecycle,first_event,first_date,first_surface,first_exposure,first_lifecycle,lag_days_min,lag_days_max,certainty
claude-3-haiku,Claude 3 Haiku,Anthropic,m365,selectable_or_default,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,studio,any_exposure,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,studio,selectable_or_default,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,github_copilot,any_exposure,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,github_copilot,selectable_or_default,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,foundry,any_exposure,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-haiku,Claude 3 Haiku,Anthropic,foundry,selectable_or_default,anthropic-claude3-haiku-2024-03-13,2024-03-13,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,microsoft,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,microsoft,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,copilot,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,copilot,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,m365,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,m365,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,studio,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,studio,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,github_copilot,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,github_copilot,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,foundry,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-opus,Claude 3 Opus,Anthropic,foundry,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,microsoft,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,microsoft,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,copilot,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,copilot,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,m365,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,m365,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,studio,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,studio,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,github_copilot,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,github_copilot,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,foundry,any_exposure,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-3-sonnet,Claude 3 Sonnet,Anthropic,foundry,selectable_or_default,anthropic-claude3-family-2024-03-04,2024-03-04,ga,,,,,,,,not_recorded
claude-fable-5,Claude Fable 5,Anthropic,microsoft,any_exposure,anthropic-fable5-2026-06-09,2026-06-09,ga,foundry-fable5-2026-06-09,2026-06-09,microsoft-foundry,catalogue,ga,0,0,exact
claude-fable-5,Claude Fable 5,Anthropic,microsoft,selectable_or_default,anthropic-fable5-2026-06-09,2026-06-09,ga,github-fable5-ga-2026-06-09,2026-06-09,github-copilot,selectable,ga,0,0,exact
claude-fable-5,Claude Fable 5,Anthropic,copilot,any_exposure,anthropic-fable5-2026-06-09,2026-06-09,ga,github-fable5-ga-2026-06-09,2026-06-09,github-copilot,selectable,ga,0,0,exact
claude-fable-5,Claude Fable 5,Anthropic,copilot,selectable_or_default,anthropic-fable5-2026-06-09,2026-06-09,ga,github-fable5-ga-2026-06-09,2026-06-09,github-copilot,selectable,ga,0,0,exact
